source_repo	source_path	bytes	lines	ak_hits	disposition	target_path	status	reason
alaskaaicarousels	assets/geo/alaska-places.json	8705	497	32	REBUILD	assets/geo/alaska-places.json	TODO	Alaska geodata; Texas needs its own counties, zones and gazetteer
alaskaaicarousels	assets/geo/alaska-state.geo.json	766667	1	1	REBUILD	assets/geo/alaska-state.geo.json	TODO	Alaska geodata; Texas needs its own counties, zones and gazetteer
alaskaaicarousels	assets/geo/us-states-10m.json	114554	1	1	REBUILD	assets/geo/us-states-10m.json	TODO	Alaska geodata; Texas needs its own counties, zones and gazetteer
alaskaaicarousels	assets/geo/world-land-110m.json	55207	1	0	REBUILD	assets/geo/world-land-110m.json	TODO	Alaska geodata; Texas needs its own counties, zones and gazetteer
alaskaaicarousels	assets/js/ak3d.js	10128	243	1	PORT_VERBATIM	assets/js/tx3d.js	DONE	
alaskaaicarousels	assets/js/akcolor.js	7821	164	0	PORT_VERBATIM	assets/js/txcolor.js	DONE	
alaskaaicarousels	assets/js/akengrave.js	19531	459	1	PORT_VERBATIM	assets/js/txengrave.js	DONE	
alaskaaicarousels	assets/js/akgeo.js	2804	60	13	PORT_RETHEMED	assets/js/txgeo.js	DONE	encodes the Alaska conic fit; Texas needs its own projection recipe
alaskaaicarousels	assets/js/akhachure.js	14130	320	6	PORT_VERBATIM	assets/js/txhachure.js	DONE	
alaskaaicarousels	assets/js/aklabel.js	6357	147	10	PORT_VERBATIM	assets/js/txlabel.js	DONE	
alaskaaicarousels	assets/js/akpost.js	16105	356	2	PORT_VERBATIM	assets/js/txpost.js	DONE	
alaskaaicarousels	assets/js/akrelief.js	11345	236	16	PORT_VERBATIM	assets/js/txrelief.js	DONE	
alaskaaicarousels	assets/js/aksdf.js	11727	265	0	PORT_VERBATIM	assets/js/txsdf.js	DONE	
alaskaaicarousels	assets/js/aksnow.js	14531	320	7	PORT_VERBATIM	assets/js/txcarve.js	DONE	
alaskaaicarousels	assets/js/akthree.js	18227	343	5	PORT_VERBATIM	assets/js/txthree.js	DONE	
alaskaaicarousels	assets/js/aktype.js	13523	282	18	PORT_VERBATIM	assets/js/txtype.js	DONE	
alaskaaicarousels	assets/js/d3.v7.min.js	279706	2	8	PORT_VERBATIM	assets/js/d3.v7.min.js	DONE	
alaskaaicarousels	assets/js/noise.js	7084	190	6	PORT_VERBATIM	assets/js/noise.js	DONE	
alaskaaicarousels	assets/js/three.module.min.js	691648	6	3	PORT_VERBATIM	assets/js/three.module.min.js	DONE	
alaskaaicarousels	assets/js/topojson-client.min.js	7169	2	0	PORT_VERBATIM	assets/js/topojson-client.min.js	DONE	
alaskaaicarousels	assets/js/zdog.min.js	29737	8	0	PORT_VERBATIM	assets/js/zdog.min.js	DONE	
alaskaaicarousels	config/brand.yaml	11102	188	20	PORT_RETHEMED	config/brand.yaml	DONE	
alaskaaicarousels	config/gaswatch_hdd_history.json	13474	1	3	REBUILD	config/gridwatch/_hdd_history.json	TODO	Cook Inlet gas model has no Texas analogue; ERCOT publishes its own forecast
alaskaaicarousels	config/gaswatch_model.json	9174	147	21	REBUILD	config/gridwatch/_model.json	TODO	Cook Inlet gas model has no Texas analogue; ERCOT publishes its own forecast
alaskaaicarousels	config/scoring_rubric.yaml	5253	89	6	PORT_RETHEMED	config/scoring_rubric.yaml	TODO	
alaskaaicarousels	config/sources.yaml	5817	70	40	PORT_RETHEMED	config/sources.yaml	TODO	
alaskaaicarousels	docs/.nojekyll	0	0	0	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/404.html	28866	83	29	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/CNAME	15	1	1	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/a7f3c21e9b8d4e5f6a1c0b3d2e8f7a94.txt	33	1	0	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/about/index.html	34993	132	95	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/apple-touch-icon.png	2330	0	0	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/ask-corpus.json	129462	1	491	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/atom.xml	109737	310	645	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/contact/index.html	30975	101	42	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/contact/thanks/index.html	29055	82	29	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/data/index.html	44148	135	110	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/adl-422741-stak-north-slope-lease/index.html	54285	158	113	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/aidea-houston-industrial-park/index.html	56290	158	166	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/air-force-eul-ai-data-centers/index.html	59250	158	91	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/aklng-tax-bill-second-special-session/index.html	60385	158	194	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/alaska-statewide-transcription-rfp/index.html	45230	158	110	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/ana-ai3-action-institute/index.html	49224	158	106	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/anchorage-ao-2026-27-data-center-zoning/index.html	44502	158	118	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/aogcc-class-vi-carbon-storage/index.html	45921	158	106	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/army-janus-fort-wainwright/index.html	44984	156	50	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/bradley-lake-dixon-diversion/index.html	50217	158	114	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/cvea-micro-modular-reactor/index.html	45646	158	44	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/dmv-automated-compliance-rfi/index.html	44057	158	57	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/docket.json	112182	1663	397	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/eielson-oklo-microreactor/index.html	46670	158	63	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/enstar-cook-inlet-gas-storage/index.html	52988	158	302	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/eo-14318-data-center-permitting/index.html	47034	158	49	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/feed.xml	22795	171	124	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/gvea-lm6000-turbine-purchase/index.html	49022	158	128	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/hb-259-data-center-utility-standards/index.html	48702	158	94	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/index.html	405477	2654	1030	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/kpbsd-ai-policy-package/index.html	50672	158	126	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/ratepayer-protection-pledge-alaska-utilities/index.html	49136	158	113	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket/terra-energy-center-doe-grant/index.html	46622	158	62	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/docket.json	112182	1663	397	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/feed.json	183088	1771	1117	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/feed.xml	94478	285	644	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/gas-watch/index.html	71634	553	118	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/gas-watch.json	45777	1155	127	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/index.html	63434	459	111	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/llms-full.txt	350825	2512	2069	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/llms.txt	11564	98	147	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/logo.png	57093	0	0	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/og-docket.png	308467	0	0	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/og.png	281058	0	0	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/privacy/index.html	35177	163	37	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/questions/index.html	142654	135	636	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/robots.txt	700	14	4	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/scan/index.html	78083	955	61	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/services/index.html	56227	270	88	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/services/thanks/index.html	39919	82	29	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/site.css	42916	466	5	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/site.js	9921	202	8	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/sitemap.xml	6852	1	77	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/sources/index.html	114885	80	381	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/topics/data-centers/index.html	46801	135	129	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/topics/data-sovereignty/index.html	37138	115	76	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/topics/defense-and-federal/index.html	49634	160	141	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/topics/index.html	31580	106	49	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/topics/land-and-permitting/index.html	52968	170	161	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/topics/power-and-the-grid/index.html	51189	157	163	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/topics/research-and-science/index.html	42663	145	100	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/topics/state-policy/index.html	53473	175	175	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/videos/index.html	19292	400	12	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	docs/videos/videos.json	28849	381	197	DROP		DROPPED	generated site output; Texas regenerates from its own ledgers
alaskaaicarousels	examples/demo-deck/slides/slide-01.html	5849	122	8	REBUILD	examples/demo-deck/slides/slide-01.html	DONE	engine-proof decks are written fresh against Texas art
alaskaaicarousels	examples/demo-deck/slides/slide-02.html	5295	112	16	REBUILD	examples/demo-deck/slides/slide-02.html	DONE	engine-proof decks are written fresh against Texas art
alaskaaicarousels	examples/demo-deck/slides/slide-03.html	4549	114	3	REBUILD	examples/demo-deck/slides/slide-03.html	DONE	engine-proof decks are written fresh against Texas art
alaskaaicarousels	examples/demo-deck/slides/slide-04.html	4802	116	4	REBUILD	examples/demo-deck/slides/slide-04.html	DONE	engine-proof decks are written fresh against Texas art
alaskaaicarousels	examples/proof-3d/slides/slide-01.html	2863	44	1	REBUILD	examples/proof-3d/slides/slide-01.html	TODO	engine-proof decks are written fresh against Texas art
alaskaaicarousels	examples/proof-3d/slides/slide-02.html	3185	57	0	REBUILD	examples/proof-3d/slides/slide-02.html	TODO	engine-proof decks are written fresh against Texas art
alaskaaicarousels	examples/proof-3d/slides/slide-03.html	5158	81	4	REBUILD	examples/proof-3d/slides/slide-03.html	TODO	engine-proof decks are written fresh against Texas art
alaskaaicarousels	knowledge/CAPTION_CRAFT.md	11768	214	3	PORT_RETHEMED	knowledge/carousel/CAPTION_CRAFT.md	TODO	
alaskaaicarousels	knowledge/CAROUSEL_CRAFT.md	7558	129	7	PORT_RETHEMED	knowledge/carousel/CAROUSEL_CRAFT.md	DONE	
alaskaaicarousels	knowledge/DESIGN_DOCTRINE.md	12503	205	12	PORT_RETHEMED	knowledge/carousel/DESIGN_DOCTRINE.md	DONE	
alaskaaicarousels	knowledge/FIELD_NOTES.md	231133	3151	142	REBUILD	knowledge/carousel/FIELD_NOTES.md	DONE	living run-retro log; Texas starts empty
alaskaaicarousels	knowledge/SLIDE_DOSSIER_SPEC.md	7525	131	2	PORT_RETHEMED	knowledge/carousel/SLIDE_DOSSIER_SPEC.md	DONE	
alaskaaicarousels	knowledge/TECHNIQUE_LIBRARY.md	45446	669	26	PORT_RETHEMED	knowledge/carousel/TECHNIQUE_LIBRARY.md	TODO	
alaskaaicarousels	ledger/alerts.json	1389	39	7	REBUILD	ledger/alerts.json	TODO	Alaska's memory would poison Texas dedupe and divergence gates
alaskaaicarousels	ledger/artwork.json	132723	753	136	REBUILD	ledger/artwork.json	TODO	Alaska's memory would poison Texas dedupe and divergence gates
alaskaaicarousels	ledger/captions.json	26442	317	35	REBUILD	ledger/captions.json	TODO	Alaska's memory would poison Texas dedupe and divergence gates
alaskaaicarousels	ledger/docket.json	110005	1628	362	REBUILD	ledger/docket.json	DONE	Alaska's memory would poison Texas dedupe and divergence gates
alaskaaicarousels	ledger/gaswatch.jsonl	44157	12	176	REBUILD	ledger/gaswatch.jsonl	TODO	Alaska's memory would poison Texas dedupe and divergence gates
alaskaaicarousels	ledger/gaswatch_eia.json	26312	1376	3	REBUILD	ledger/gaswatch_eia.json	TODO	Alaska's memory would poison Texas dedupe and divergence gates
alaskaaicarousels	ledger/instincts.json	68682	695	19	REBUILD	ledger/instincts.json	TODO	Alaska's memory would poison Texas dedupe and divergence gates
alaskaaicarousels	ledger/topics.json	73089	1397	339	REBUILD	ledger/topics.json	TODO	Alaska's memory would poison Texas dedupe and divergence gates
alaskaaicarousels	ledger/upgrades.json	231695	1284	58	REBUILD	ledger/upgrades.json	TODO	Alaska's memory would poison Texas dedupe and divergence gates
alaskaaicarousels	prompts/ASK_ROUTINE.md	5487	121	4	PORT_RETHEMED	prompts/ask_routine.md	TODO	
alaskaaicarousels	prompts/ROUTINE_PROMPT.txt	469	10	3	PORT_RETHEMED	prompts/CAROUSEL_TRIGGER.txt	TODO	
alaskaaicarousels	prompts/routine_instructions.md	82996	1396	59	PORT_RETHEMED	prompts/daily_routine.md	DONE	
alaskaaicarousels	research/broadband/.gitignore	182	4	0	DROP		DROPPED	Alaska USAC data; a Texas analogue is a later project, not this port
alaskaaicarousels	research/broadband/README.md	5607	97	8	DROP		DROPPED	Alaska USAC data; a Texas analogue is a later project, not this port
alaskaaicarousels	research/broadband/bundle.py	9442	203	1	DROP		DROPPED	Alaska USAC data; a Texas analogue is a later project, not this port
alaskaaicarousels	research/broadband/derived/circuits_v2.csv	1846309	7505	14913	DROP		DROPPED	Alaska USAC data; a Texas analogue is a later project, not this port
alaskaaicarousels	research/broadband/derived/communities_geo.json	35364	1	12	DROP		DROPPED	Alaska USAC data; a Texas analogue is a later project, not this port
alaskaaicarousels	research/broadband/fetch.sh	999	17	6	DROP		DROPPED	Alaska USAC data; a Texas analogue is a later project, not this port
alaskaaicarousels	research/broadband/pipeline.py	13277	314	14	DROP		DROPPED	Alaska USAC data; a Texas analogue is a later project, not this port
alaskaaicarousels	research/broadband/test_pipeline.py	5139	119	3	DROP		DROPPED	Alaska USAC data; a Texas analogue is a later project, not this port
alaskaaicarousels	scripts/aggregate_check.py	35914	776	6	PORT_RETHEMED	scripts/carousel/aggregate_check.py	DONE	
alaskaaicarousels	scripts/ask_answers.py	62727	1366	65	PORT_RETHEMED	scripts/site/ask_answers.py	DONE	
alaskaaicarousels	scripts/ask_corpus.py	8998	222	6	PORT_RETHEMED	scripts/site/ask_corpus.py	TODO	
alaskaaicarousels	scripts/bespoke_check.py	9630	218	1	PORT_RETHEMED	scripts/carousel/bespoke_check.py	DONE	
alaskaaicarousels	scripts/caption_check.py	37354	740	8	PORT_RETHEMED	scripts/carousel/caption_check.py	DONE	
alaskaaicarousels	scripts/claims_check.py	8002	192	0	PORT_RETHEMED	scripts/carousel/claims_check.py	DONE	
alaskaaicarousels	scripts/copy_sync_check.py	8768	212	0	PORT_RETHEMED	scripts/carousel/copy_sync_check.py	DONE	
alaskaaicarousels	scripts/craft_corpus.py	16958	407	0	PORT_RETHEMED	scripts/carousel/craft_corpus.py	TODO	
alaskaaicarousels	scripts/dedupe_check.py	13910	318	6	PORT_RETHEMED	scripts/carousel/dedupe_check.py	DONE	
alaskaaicarousels	scripts/docket_alerts.py	19107	425	6	PORT_RETHEMED	scripts/site/docket_alerts.py	TODO	
alaskaaicarousels	scripts/docket_build.py	42270	913	44	PORT_RETHEMED	scripts/site/docket_build.py	DONE	
alaskaaicarousels	scripts/docket_dates_check.py	28922	605	5	PORT_RETHEMED	scripts/site/docket_dates_check.py	TODO	
alaskaaicarousels	scripts/docket_staleness.py	9092	191	1	PORT_RETHEMED	scripts/site/docket_staleness.py	DONE	
alaskaaicarousels	scripts/dossier_check.py	10102	222	0	PORT_RETHEMED	scripts/carousel/dossier_check.py	DONE	
alaskaaicarousels	scripts/feeds_build.py	22445	501	44	PORT_RETHEMED	scripts/site/feeds_build.py	TODO	
alaskaaicarousels	scripts/fetch_map_layers.py	12141	296	32	PORT_RETHEMED	scripts/site/fetch_map_layers.py	TODO	
alaskaaicarousels	scripts/gaswatch_build.py	97272	1944	89	REBUILD	scripts/gridwatch/build.py	TODO	ERCOT, not Cook Inlet: different sources, different physics
alaskaaicarousels	scripts/gaswatch_collect.py	52167	1194	109	REBUILD	scripts/gridwatch/collect.py	TODO	ERCOT, not Cook Inlet: different sources, different physics
alaskaaicarousels	scripts/gaswatch_eia.py	11650	281	17	REBUILD	scripts/gridwatch/eia.py	TODO	ERCOT, not Cook Inlet: different sources, different physics
alaskaaicarousels	scripts/gaswatch_fit.py	13945	314	12	REBUILD	scripts/gridwatch/fit.py	TODO	ERCOT, not Cook Inlet: different sources, different physics
alaskaaicarousels	scripts/gaswatch_hdd.py	9565	233	1	REBUILD	scripts/gridwatch/hdd.py	TODO	ERCOT, not Cook Inlet: different sources, different physics
alaskaaicarousels	scripts/gaswatch_pagecheck.py	16666	396	9	REBUILD	scripts/gridwatch/pagecheck.py	TODO	ERCOT, not Cook Inlet: different sources, different physics
alaskaaicarousels	scripts/gate_status.py	40370	878	3	PORT_RETHEMED	scripts/carousel/gate_status.py	TODO	
alaskaaicarousels	scripts/gmail_draft.py	27963	526	9	PORT_RETHEMED	scripts/carousel/gmail_draft.py	DONE	
alaskaaicarousels	scripts/indexnow.py	4874	127	1	PORT_RETHEMED	scripts/site/indexnow.py	TODO	
alaskaaicarousels	scripts/parsers_check.py	9057	199	5	PORT_RETHEMED	scripts/carousel/parsers_check.py	TODO	
alaskaaicarousels	scripts/prune_runs.py	5560	140	0	PORT_RETHEMED	scripts/carousel/prune_runs.py	TODO	
alaskaaicarousels	scripts/read_stats.py	4974	123	1	PORT_RETHEMED	scripts/site/read_stats.py	TODO	
alaskaaicarousels	scripts/scanner_sync_check.py	29098	635	2	PORT_RETHEMED	scripts/site/scanner_sync_check.py	TODO	
alaskaaicarousels	scripts/ship_images.py	12311	285	1	PORT_RETHEMED	scripts/carousel/ship_images.py	TODO	
alaskaaicarousels	scripts/shrink_pdfs.py	10545	264	0	PORT_RETHEMED	scripts/carousel/shrink_pdfs.py	TODO	
alaskaaicarousels	scripts/site_build.py	403971	7581	414	PORT_RETHEMED	scripts/site/site_build.py	DONE	
alaskaaicarousels	scripts/site_fresh_check.py	4299	110	0	PORT_RETHEMED	scripts/site/site_fresh_check.py	DONE	
alaskaaicarousels	scripts/style_lint.py	3861	99	0	PORT_RETHEMED	scripts/shared/style_lint.py	TODO	
